"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","基于""%s""属性的 %d 目录价格规则已被禁用。"
"Actions","操作"
"Active","活动"
"Add New Rule","新增规则"
"An error occurred while deleting the rule. Please review the log and try again.","当删除规则时发生错误。请检查日志并重试。"
"An error occurred while saving the rule data. Please review the log and try again.","当保存规则数据时发生错误。请查看日志并重试。"
"Apply","套用"
"Apply Rules","套用规则"
"Attribute Set","属性集"
"By Fixed Amount","按固定金额"
"By Percentage of the Original Price","按原价的百分比"
"Catalog","分类"
"Catalog Price Rule","目录价格规则"
"Catalog Price Rules","分类价格规则"
"Category","分类"
"Conditions","条件"
"Conditions (leave blank for all products)","条件（用于全部产品时留空）"
"Conditions Combination","条件组合"
"Customer Groups","客户组"
"Date Expire","过期日"
"Date From","日期自"
"Date Start","开始日"
"Date To","日期至"
"Description","描述"
"Discount Amount","折扣额"
"Edit Rule","修改规则"
"Edit Rule '%s'","修改规则'%s'"
"Enable Discount to Subproducts","启用折扣到子产品"
"From Date","来自日期"
"General Information","常规资讯"
"ID","ID"
"Inactive","未激活"
"New Rule","新规则"
"No","否"
"Options","选项"
"Priority","优先级"
"Product Attribute","产品属性"
"Promotions","促销"
"Rule Information","规则资讯"
"Rule Name","规则名称"
"Save and Apply","保存并套用"
"Save and Continue Edit","保存并继续编辑"
"Status","状态"
"Stop Further Rules Processing","停止进一步的规则处理"
"The rule has been deleted.","规则已删除。"
"The rule has been saved.","规则已保存。"
"The rules have been applied.","规则已应用。"
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","存在已更改但未应用的规则。请单击""应用规则""以立即查看目录中套用的效果。"
"This rule no longer exists.","该规则已不存在。"
"To Date","截止日期"
"To Fixed Amount","到达指定金额"
"To Percentage of the Original Price","到达原价的百分比"
"Unable to apply rules.","无法套用规则。"
"Unable to find a rule to delete.","无法查找要删除的规则。"
"Update Prices Using the Following Information","更新价钱使用以下资料"
"Update product's %s %s: %s","更新产品的 %s %s：%s"
"Website","网站"
"Websites","网站"
"Wrong rule specified.","所指定规则有误。"
"Yes","是"
