"1.5.0.0 & later","1.5.0.0 及更新版"
"Action","操作"
"Add Author","新增作者"
"Add Contents Path","新增内容路径"
"Add PHP Extension dependency","新增PHP扩展依存性"
"Add Package dependency","新增数据包依存性"
"Add files","新增文件"
"Authors","作者"
"Channel","渠道"
"Contents","内容"
"Create Extension Package","建立扩展包"
"Dependencies","依存性"
"Description","描述"
"Edit Extension","修改扩展"
"Email","电子邮件"
"Extension","扩展"
"Extensions","扩展"
"Failed to create the package.","建立包失败。"
"Failed to load the package data.","载入包数据失败。"
"Failed to save the package.","保存包失败。"
"Files","文件"
"Folder","文件夹"
"Ignore","忽略"
"Include","包含"
"License","许可"
"License URI","许可URI"
"Load Local Package","载入本地包"
"Load local Package","载入本地包"
"Magento Connect","Magento连接"
"Magento Connect Manager","Magento连接管理器"
"Max","最大"
"Maximum","最大"
"Min","最小"
"Minimum","最小"
"Name","名称"
"New Extension","新扩展"
"PHP Version","PHP版本"
"Package","包裹"
"Package Extensions","包括扩展"
"Package File Name","包文件名"
"Package Info","包资讯"
"Packages","包裹"
"Path","路径"
"Pre-1.5.0.0","Pre-1.5.0.0"
"Release Info","发布资讯"
"Remove","删除"
"Save As...","另存为..."
"Save Data and Create Package","保存数据并建立包"
"Save package with custom package file name","使用自定包文件名保存包"
"Summary","摘要"
"Supported releases","支持的版本"
"System","系统"
"Target","目标"
"The package %s data has been loaded.","包中 %s 数据已载入。"
"The package data has been saved.","包中数据已保存。"
"There was a problem saving package data","保存包数据时遇到问题"
"Type","类型"
"User","用户"
